Key	Type	Desc	Chinese (Simplified)	English	French	German	Spanish	Portuguese (Brazil)	Russian	Italian	Japanese	Korean	Chinese (Traditional)	Indonesian											
Obj/Desc/Blender	base	0	搅拌机，点击该道具可以收集甜食和糖果道具或者创造更高一级的搅拌机。	Blender.MERGE to reach its next level.TAP to produce new items.	Mixeur.FUSIONNEZ pour atteindre le niveau suivant.TOUCHEZ pour produire de nouveaux objets.	"Standmixer.KOMBINIEREN, um nächstes Level zu erreichen.TIPPEN, um neue Gegenstände herzustellen."	Licuadora.FUSIONA para llegar al siguiente nivel.TOCA para producir objetos nuevos.	Liquidificador.COMBINE para alcançar o próximo nível.TOQUE para produzir itens novos.	"Блендер.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня.НАЖИМАЙТЕ, чтобы производить новые предметы."	Miscelatore.ABBINA per raggiungere il livello successivo.TOCCA per produrre nuovi oggetti.	ミキサー.同じコマを合成することでレベルアップします。タップで新しいコマを作ります。	블렌더.같은 아이템을 합성해 레벨업할 수 있어요.눌러서 새로운 아이템을 생성하세요.	攪拌機，點擊該道具可以收集甜食和糖果道具或者創造更高一級的攪拌機。	"Blender, klik item ini untuk mengumpulkan permen dan item permen atau membuat blender dengan level lebih tinggi."											
Obj/Desc/BlenderMax	base	0	搅拌机，最高等级。 点击该道具可以收集甜食和糖果道具。	Blender.This item is at its MAX level.TAP to produce new items.	Mixeur.Cet objet est à son niveau MAX.TOUCHEZ pour produire de nouveaux objets.	"Standmixer.MAXIMALES Level erreicht.TIPPEN, um neue Gegenstände herzustellen."	Licuadora.Este objeto está en el nivel máximo.TOCA para producir objetos nuevos.	Liquidificador.Este item está no nível MÁX.TOQUE para produzir itens novos.	"Блендер.Этот предмет находится на максимальном уровне.НАЖИМАЙТЕ, чтобы производить новые предметы."	Miscelatore.Questo oggetto è al livello MASSIMO.TOCCA per produrre nuovi oggetti.	ミキサー.このコマはLvMAXになりました。タップで新しいコマを作ります。	블렌더.이 아이템은 이미 최고 레벨이에요.눌러서 새로운 아이템을 생성하세요.	攪拌機，最高等級。 點擊該道具可以收集甜食和糖果道具。	"Blender, level tertinggi. Klik item ini untuk mengumpulkan permen dan item permen."											
Obj/Chain/Blender	base	0	搅拌机	Blender	Mixeur	Standmixer	Licuadora	Liquidificador	Блендер	Miscelatore	ミキサー	블렌더	攪拌機	Blender											
Obj/Name/Desserts_1	base	0	方糖	Sugar	Sucre	Zucker	Azúcar	Açúcar	Сахар	Zucchero	砂糖	설탕	方糖	Gula batu											
Obj/Name/Desserts_2	base	0	巧克力	Chocolate	Chocolat	Schokolade	Chocolate	Chocolate	Шоколад	Cioccolato	チョコレート	초콜릿	巧克力	Cokelat											
Obj/Name/Desserts_3	base	0	甜甜圈	Donuts	Beignets	Donuts	Donas	Rosquinhas	Пончики	Ciambelle	ドーナツ	도넛	甜甜圈	Donat											
Obj/Name/Desserts_4	base	0	马卡龙	Macaron	Macaron	Macaron	Macarrón	Macaron	Макарон	Macaron	マカロン	마카롱	馬卡龍	Macaron											
Obj/Name/Desserts_5	base	0	芝士	Cheese	Fromage	Käse	Queso	Queijo	Сыр	Formaggio	チーズ	치즈	芝士	Keju											
Obj/Name/Desserts_6	base	0	果冻	Jelly	Gelée	Gelee	Gelatina	Geléia	Желе	Gelatina	ゼリー	젤리	果凍	Jeli											
Obj/Name/Desserts_7	base	0	布丁	Pudding	Pudding	Pudding	Pudín	Pudim	Пудинг	Budino	プリン	푸딩	布丁	Puding											
Obj/Name/Desserts_8	base	0	夹心华夫饼	Waffle	Gaufre	Waffel	Gofre	Waffle	Вафли	Cialda	ワッフル	와플	夾心華夫餅	Wafel isi											
Obj/Name/Desserts_9	base	0	提拉米苏	Tiramisu	Tiramisu	Tiramisu	Tiramisu	Tiramisu	Тирамису	Tiramisù	ティラミス	티라미수	提拉米蘇	Tiramisu											
Obj/Name/Desserts_10	base	0	树桩蛋糕	Stump Cake	Gâteau de souche	Baumstammkuchen	Tarta tronco	Bolo tronco	Пирог-секач	Torta di tronco	切り株ケーキ	그루터기 케이크	樹樁蛋糕	Kue batang pohon											
Obj/Name/Desserts_11	base	0	草莓蛋糕	Strawberry Cake	Gâteau aux Fraises	Erdbeerkuchen	Pastel de fresa	Bolo de morango	Клубничный пирог	Torta Di Fragole	ストロベリーケーキ	딸기 케이크	草莓蛋糕	Kue stroberi											
Obj/Name/Desserts_12	base	0	水果蛋糕	Fruit Cake	Gâteau aux fruits	Früchtekuchen	Pastel de frutas	Bolo de frutas	Фруктовый торт	Torta di frutta	フルーツケーキ	과일 케이크	水果蛋糕	Kue buah											
Obj/Desc/DessertsGenerally	base	0	"甜食,通过合成可以创造更高一级的甜食。"	Desserts.MERGE to reach its next level.	Desserts.FUSIONNEZ pour atteindre le niveau suivant.	"Nachspeisen.KOMBINIEREN, um nächstes Level zu erreichen."	Postres.FUSIONA para llegar al siguiente nivel.	Sobremesas.COMBINE para alcançar o próximo nível.	"Десерты.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня."	Dolci.ABBINA per raggiungere il livello successivo.	デザート.同じコマを合成することでレベルアップします。	디저트.같은 아이템을 합성해 레벨업할 수 있어요.	"甜食,通過合成可以創造更高一級的甜食。"	"Permen, melalui sintesis dapat menciptakan tingkat manisan yang lebih tinggi."											
Obj/Desc/DessertsMax	base	0	"甜食,最高等级。"	Desserts.This item is at its MAX level.	Desserts.Cet objet est à son niveau MAX.	Nachspeisen.MAXIMALES Level erreicht.	Postres.Este objeto está en el nivel máximo.	Sobremesas.Este item está no nível MÁX.	Десерты.Этот предмет находится на максимальном уровне.	Dolci.Questo oggetto è al livello MASSIMO.	デザート.このコマはLvMAXになりました。	디저트.이 아이템은 이미 최고 레벨이에요.	"甜食,最高等級。"	"Permen, kedudukan tertinggi."											
Obj/Chain/Desserts	base	0	甜食	Desserts	Desserts	Nachspeisen	Postres	Sobremesas	Десерты	Dolci	デザート	디저트	甜食	Permen											
Obj/Name/Candy_1	base	0	硬糖	Hard Candy	Bonbon Dur	Harte Süßigkeiten	Caramelo Duro	Caramelo Duro	Леденец	Caramella	ハードキャンディー	하드 캔디	硬糖	Permen keras											
Obj/Name/Candy_2	base	0	棉花糖	Marshmallow	Guimauve	Mäusespeck	Malvavisco	Malvavisco	Зефирка	Marshmallow	マシュマロ	마시멜로	棉花糖	Marshmallow											
Obj/Name/Candy_3	base	0	小熊软糖	Gummy Bears	Ours Gommeux	Gummibärchen	Ositos De Goma	Ositos De Goma	Мармеладные Мишки	Orsetti Gommosi	グミベア	거미 곰	小熊軟糖	Beruang Bergetah											
Obj/Name/Candy_4	base	0	蜜桃果糖	Peach Fudge	Fondant Aux Pêches	Pfirsich-Fudge	Dulce De Durazno	Dulce De Durazno	Персиковая Помадка	Fondente Alla Pesca	ピーチファッジ	복숭아 퍼지	蜜桃果糖	Fruktosa Persik											
Obj/Name/Candy_5	base	0	葡萄果糖	Grape Gum	Gomme De Raisin	Traubengummi	Chicle De Uva	Chicle De Uva	Виноградная Камедь	Gomma D'Uva	グレープガム	포도 껌	葡萄果糖	Fruktosa glukosa											
Obj/Name/Candy_6	base	0	蓝莓果糖	Blueberry Fudge	Fudge Aux Bleuets	Blaubeer-Fudge	Dulce De Arándanos	Dulce De Arándanos	Черничная Помадка	Fondente Ai Mirtilli	ブルーベリーファッジ	블루베리 퍼지	藍莓果糖	Fruktosa blueberry											
Obj/Name/Candy_7	base	0	西瓜糖果	Fudge	Truquer	Fudge	Dulce de azúcar	Doce de açúcar	Выдумка	Truffa	ファッジ	퍼지	軟糖	Permen semangka											
Obj/Name/Candy_8	base	0	棒棒糖	Lollipop	Sucette	Lutscher	Chupete	Chupete	Леденец	Lecca-Lecca	ロリポップ	사탕 과자	棒棒糖	Lolipop											
Obj/Name/Candy_9	base	0	猫爪棒棒糖	Cat's Claw Lollipop	Sucette de griffe de chat	Katzenkralle-Lutscher	Chupete de garra de gato	Pirulito de unha de gato	"Леденец ""Кошачьи когти"""	Lecca-lecca di artiglio di gatto	キャットクローロリポップ	고양이 발톱 롤리팝	貓爪棒棒糖	Lolipop Kuku Kucing											
Obj/Name/Candy_10	base	0	波板糖	Rock Candy	Sucre de roche	Zuckerstange	Azúcar de roca	Cristal de açúcar	Кусочки льда	Zucchero di roccia	ロックキャンディ	락캔디	波板糖	Gula batu											
Obj/Name/Candy_11	base	0	夹心糖果	Filled Candy	Bonbon fourré	Gefüllte Bonbons	Caramelo relleno	Doce recheado	Наполненные конфеты	Caramella ripiena	フィルドキャンディ	안에 내용물이 든 캔디	夾心糖果	Permen berisi											
Obj/Name/Candy_12	base	0	糖果罐	Candy jar	Bonbonnière	Süßigkeitenglas	Tarro de caramelo	Frasco de doces	Баночка конфет	Barattolo di caramelle	キャンディージャー	사탕 단지	糖果罐	Toples permen											
Obj/Desc/CandyGenerally	base	0	"糖果,通过合成可以创造更高一级的糖果。"	Candy.MERGE to reach its next level.	Des Bonbons.FUSIONNEZ pour atteindre le niveau suivant.	"Süssigkeit.KOMBINIEREN, um nächstes Level zu erreichen."	Dulce.FUSIONA para llegar al siguiente nivel.	Doce.COMBINE para alcançar o próximo nível.	"Конфеты.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня."	Caramella.ABBINA per raggiungere il livello successivo.	あめ.同じコマを合成することでレベルアップします。	사탕.같은 아이템을 합성해 레벨업할 수 있어요.	"糖果,通過合成可以創造更高一級的糖果。"	"Permen, melalui sintesis dapat menciptakan tingkat permen yang lebih tinggi."											
Obj/Desc/CandyMax	base	0	"糖果,最高等级。"	Candy.This item is at its MAX level.	Des Bonbons.Cet objet est à son niveau MAX.	Süssigkeit.MAXIMALES Level erreicht.	Dulce.Este objeto está en el nivel máximo.	Doce.Este item está no nível MÁX.	Конфеты.Этот предмет находится на максимальном уровне.	Caramella.Questo oggetto è al livello MASSIMO.	あめ.このコマはLvMAXになりました。	사탕.이 아이템은 이미 최고 레벨이에요.	"糖果,最高等級。"	"Permen, level tertinggi."											
Obj/Chain/Candy	base	0	糖果	Candy	Des Bonbons	Süssigkeit	Dulce	Doce	Конфеты	Caramella	あめ	사탕	波板糖	Permen											
Obj/Name/CoffeeCup_1	base	0	开关	Plunger	Piston	Saugpumpe	Clavija	Pistão	Рычаг	Stantuffo	コンロのつまみ	플런저	開關	Mengalihkan											
Obj/Name/CoffeeCup_2	base	0	框架	Knob	Bouton	Knauf	Mando	Botão	Ручка	Manopola	温度調節つまみ	손잡이	框架	Bingkai											
Obj/Name/CoffeeCup_3	base	0	简易咖啡机	Coffee Grinder	Moulin à café	Kaffeemühle	Molinillo de café	Moedor de café	Кофеварки	Macinacaffè	コーヒーミル	커피 그라인더	簡易咖啡機	Mesin kopi sederhana											
Obj/Name/CoffeeCup_4	base	0	滴滤式咖啡机	Filter Brewer	Cafetière à filtre	Filterbrüher	Cafetera de filtro	Cafeteira de Filtro	Фильтр кофеварка	Caffettiera a filtraggio	フィルター式ブリューワー	필터 브루어	過濾壺	Mesin kopi tetes											
Obj/Name/CoffeeCup_5	base	0	老式咖啡机	Decaf Coffee Pot	Cafetière de déca	Kanne mit koffeinfreiem Kaffee	Cafetera para descafeinado	Jarra de café descafeinado	Кофеварки	Tazza di caffè decaffeinato	カフェインレスコーヒーポット	디카페인 커피포트	老式咖啡機	Mesin kopi antik											
Obj/Name/CoffeeCup_6	base	0	咖啡机	Regular Coffee Pot	Cafetière normale	Kanne mit normalem Kaffee	Cafetera normal	Jarra de café normal	Кофеварки	Tazza di caffè normale	普通のコーヒーポット	일반 커피포트	咖啡機	Mesin kopi											
Obj/Name/CoffeeCup_7	base	0	半自动咖啡机	Pour Over Set	Service à café complet	Kaffeebereiter	Set de café filtrado	Kit de café coado	Кофеварки	Macchina da caffè manuale	コーヒーポットセット	커피포트 세트	半自動咖啡機	Mesin kopi semi otomatis											
Obj/Name/CoffeeCup_8	base	0	全自动咖啡机	Automatic Coffee	Machine à café	Kaffeeautomat	Cafetera automática	Máquina de café	Кофеварки	Caffettiera automatica	コーヒーメーカー	커피 머신	全自動咖啡機	Mesin kopi full otomatis											
Obj/Name/CoffeeCup_9	base	0	商务咖啡机	Work Coffee Station	Station de café	Kaffeestation	Cafetera profesional	Máquina de café especial	Кофеварки	Macchinetta di caffè al lavoro	オフィスコーヒーメーカー	고급 커피 머신	商務咖啡機	Mesin kopi bisnis											
Obj/Name/CoffeeCup_10	base	0	高档咖啡机	Fancy Coffee Maker	Cafetière chic	Ausgefallene Kaffeemaschine	Cafetera sofisticada	Máquina de Café Extravagante	Модная кофеварка	Caffettiera sofisticata	おしゃれなコーヒーメーカー	예쁜 커피메이커	華麗咖啡機	Mesin kopi kelas atas											
Obj/Desc/CoffeeCupGenerally	base	0	"咖啡机,通过合成可以创造更高一级的咖啡机。"	Coffee Makers.MERGE to reach its next level.	Cafetières.FUSIONNEZ pour atteindre le niveau suivant.	"Kaffeemaschinen.KOMBINIEREN, um nächstes Level zu erreichen."	Cafeteras.FUSIONA para llegar al siguiente nivel.	Cafeteiras.COMBINE para alcançar o próximo nível.	"Кофеварки.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня."	Caffetterie.ABBINA per raggiungere il livello successivo.	コーヒーメーカー.同じコマを合成することでレベルアップします。	커피 메이커.같은 아이템을 합성해 레벨업할 수 있어요.	"咖啡機,通過合成可以創造更高一級的咖啡機。"	"Mesin kopi, melalui sintesis dapat menciptakan tingkat mesin kopi yang lebih tinggi."											
Obj/Desc/CoffeeCup	base	0	"咖啡机,点击该道具可以收集咖啡或者合成更高一级的咖啡机。"	Coffee Makers.MERGE to reach its next level.TAP to produce new items.	Cafetières.FUSIONNEZ pour atteindre le niveau suivant.TOUCHEZ pour produire de nouveaux objets.	"Kaffeemaschinen.KOMBINIEREN, um nächstes Level zu erreichen.TIPPEN, um neue Gegenstände herzustellen."	Cafeteras.FUSIONA para llegar al siguiente nivel.TOCA para producir objetos nuevos.	Cafeteiras.COMBINE para alcançar o próximo nível.TOQUE para produzir itens novos.	"Кофеварки.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня.НАЖИМАЙТЕ, чтобы производить новые предметы."	Caffetterie.ABBINA per raggiungere il livello successivo.TOCCA per produrre nuovi oggetti.	コーヒーメーカー.同じコマを合成することでレベルアップします。タップで新しいコマを作ります。	커피 메이커.같은 아이템을 합성해 레벨업할 수 있어요.눌러서 새로운 아이템을 생성하세요.	"咖啡機,點擊該道具可以收集咖啡或者合成更高一級的咖啡機。"	"Mesin kopi, klik item ini untuk mengumpulkan kopi atau mensintesis mesin kopi dengan level lebih tinggi."											
Obj/Desc/CoffeeCupMax	base	0	"咖啡机,最高等级, 点击该道具可以收集咖啡。"	Coffee Makers.This item is at its MAX level.TAP to produce new items.	Cafetières.Cet objet est à son niveau MAX.TOUCHEZ pour produire de nouveaux objets.	"Kaffeemaschinen.MAXIMALES Level erreicht.TIPPEN, um neue Gegenstände herzustellen."	Cafeteras.Este objeto está en el nivel máximo.TOCA para producir objetos nuevos.	Cafeteiras.Este item está no nível MÁX.TOQUE para produzir itens novos.	"Кофеварки.Этот предмет находится на максимальном уровне.НАЖИМАЙТЕ, чтобы производить новые предметы."	Caffetterie.Questo oggetto è al livello MASSIMO.TOCCA per produrre nuovi oggetti.	コーヒーメーカー.このコマはLvMAXになりました。タップで新しいコマを作ります。	커피 메이커.이 아이템은 이미 최고 레벨이에요.눌러서 새로운 아이템을 생성하세요.	"咖啡機,最高等級, 點擊該道具可以收集咖啡。"	"Mesin kopi, level tertinggi, klik item ini untuk mengumpulkan kopi."											
Obj/Chain/CoffeeCup	base	0	咖啡机	Coffee Makers	Cafetières	Kaffeemaschinen	Cafeteras	Cafeteiras	Кофеварки	Caffetterie	コーヒーメーカー	커피 메이커	咖啡機	Mesin kopi											
Obj/Name/Jewelry_1	base	0	纸杯	Paper Cup	Gobelet en papier	Pappbecher	Vaso de papel	Copo de papel	Бумажный стаканчик	Tazza di carta	紙コップ	종이컵	紙杯	Gelas kertas											
Obj/Name/Jewelry_2	base	0	咖啡纸杯	To-Go Coffee	Café à emporter	Kaffee zum Mitnehmen	Café para llevar	Café para viagem	Кофе на вынос	Caffè da portare via	テイクアウトコーヒー	테이크아웃 커피	咖啡紙杯	Kopi Bawa Pulang											
Obj/Name/Jewelry_3	base	0	陶瓷咖啡杯	Coffee Mug	Tasse à café	Kaffeetasse	Taza de café	Caneca de café	Кофейная кружка	Tazza da caffè	コーヒーマグ	커피 머그잔	陶瓷咖啡杯	Mug Kopi											
Obj/Name/Jewelry_4	base	0	咖啡	Coffee	Café	Kaffee	Café	Café	Кофе	Caffè	コーヒー	커피	咖啡	Kopi											
Obj/Name/Jewelry_5	base	0	拉花拿铁	Latte Art	Art du Latte	Latte-Kunst	Arte del Latte	Arte do Latte	Латте-арт	Arte del Cappuccino	ラテアート	라떼 아트	拉花拿鐵	Seni Latte											
Obj/Name/Jewelry_6	base	0	卡布奇诺	Cappuccino	Cappuccino	Cappuccino	Cappuccino	Cappuccino	Капуччино	Cappuccino	カプチーノ	카푸치노	卡布奇諾	"Kopi Cappuccino
"											
Obj/Name/Jewelry_7	base	0	焦糖玛奇朵	Caramel Macchiato	Caramel Macchiato	Caramel Macchiato	Caramel Macchiato	Caramel Macchiato	Карамельный макиато	Caramel Macchiato	キャラメルマキアート	카라멜 마키아또	焦糖玛奇朵	Kopi Caramel Macchiato											
Obj/Name/Jewelry_8	base	0	冰咖啡	Iced Coffee	Café glacé	Eiskaffee	Café helado	Café gelado	Ледяной кофе	Caffè freddo	アイスコーヒー	아이스 커피	冰咖啡	Kopi Dingin											
Obj/Name/Jewelry_9	base	0	雪顶咖啡	Ice Cream Coffee	Café glacé à la crème glacée	Eiskaffee mit Eiscreme	Café con helado	Café gelado com sorvete	Кофе с мороженым	Caffè con gelato	アイスクリームコーヒー	아이스크림 커피	雪頂咖啡	Kopi Es Krim											
Obj/Name/Jewelry_10	base	0	曲奇风味拿铁	Cookie-flavored Latte	Latte saveur cookie	Cookie-Geschmack Latte	Latte con sabor a galleta	Latte com sabor de biscoito	Латте со вкусом печенья	Latte al gusto di biscotto	クッキー風味ラテ	쿠키맛 라떼	曲奇風味拿鐵	Kopi Latte Rasa Kue											
Obj/Name/Jewelry_11	base	0	提拉米苏咖啡	Tiramisu Coffee	Café Tiramisu	Tiramisu-Kaffee	Café Tiramisú	Café Tiramisu	Кофе Тирамису	Caffè Tiramisù	ティラミスコーヒー	티라미수 커피	提拉米蘇咖啡	Kopi Tiramisu											
Obj/Name/Jewelry_12	base	0	可可咖啡甜酒	Cocoa Coffee Liqueur	Liqueur de café au cacao	Kakao-Kaffee-Likör	Licor de café con cacao	Licor de café com cacau	Ликер кофе с какао	Liquore di caffè al cacao	ココアコーヒーリキュール	코코아 커피 리큐어	可可咖啡甜酒	Liker Kopi Cokelat											
Obj/Desc/JewelryGenerally	base	0	"咖啡,通过合成可以创造更高一级的咖啡。"	Coffee.MERGE to reach its next level.	Café.FUSIONNEZ pour atteindre le niveau suivant.	"Kaffee.KOMBINIEREN, um nächstes Level zu erreichen."	Café.FUSIONA para llegar al siguiente nivel.	Café.COMBINE para alcançar o próximo nível.	"Кофе.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня."	Caffè.ABBINA per raggiungere il livello successivo.	コーヒー.同じコマを合成することでレベルアップします。	커피.같은 아이템을 합성해 레벨업할 수 있어요.	"咖啡,通過合成可以創造更高一級的咖啡。"	"Kopi, tingkat kopi yang lebih tinggi dapat dibuat melalui sintesis."											
Obj/Desc/JewelryMax	base	0	"咖啡,最高等级。"	Coffee.This item is at its MAX level.	Café.Cet objet est à son niveau MAX.	Kaffee.MAXIMALES Level erreicht.	Café.Este objeto está en el nivel máximo.	Café.Este item está no nível MÁX.	Кофе.Этот предмет находится на максимальном уровне.	Caffè.Questo oggetto è al livello MASSIMO.	コーヒー.このコマはLvMAXになりました。	커피.이 아이템은 이미 최고 레벨이에요.	"咖啡,最高等級。"	"Kopi, kelas atas."											
Obj/Chain/Jewelry	base	0	咖啡	Coffee	Café	Kaffee	Café	Café	Кофе	Caffè	コーヒー	커피	咖啡	Kopi											
Obj/Name/Drawer_1	base	0	把手	Door Handle	Poignée De Porte	Türschnalle	Manija De La Puerta	Maçaneta	Дверная Ручка	Maniglia	ドアハンドル	문 손잡이	把手	Menangani											
Obj/Name/Drawer_2	base	0	收纳盒	Bin	Panier	Behälter	Bandeja	Caixa	Лоток	Cassetto	入れ物	통	收納盒	Kotak penyimpanan											
Obj/Name/Drawer_3	base	0	分格收纳盒	Utensil Bin	Panier d'ustensiles	Utensilienbehälter	Bandeja para cubiertos	Caixa de Utensílios	Лоток для приборов	Cassetto per utensili	食器入れ	식기도구 통	分格收納盒	Kotak penyimpanan kompartemen											
Obj/Name/Drawer_4	base	0	多格收纳盒	Tackle Box	Coffre à pêche	Angelkoffer	Cubertero	Caixa de Equipamentos	Большой лоток	Cassetto con divisori	タックルボックス	태클박스	多格收納盒	kotak penyimpanan multi kompartemen											
Obj/Name/Drawer_5	base	0	收纳抽屉	Drawer Shelf	Étagère à tiroir	Schubladenregal	Cajón con cubertero	Prateleira de Parede com Gaveta	Ящик	Cassetto della mensola	収納棚の引き出し	서랍	收納抽屜	Laci penyimpanan											
Obj/Name/Drawer_6	base	0	双层收纳抽屉	Nightstand	Table de nuit	Nachttisch	Mesita de cocina	Mesinha de Cabeceira	Тумба	Mobiletto	ナイトテーブル	침실용 탁자	雙層收納抽屜	Laci penyimpanan ganda											
Obj/Name/Drawer_7	base	0	多层收纳抽屉	Kitchen Cabinet	Meuble de cuisine	Küchenkabinett	Alacena	Armário de Cozinha	Кухонный шкаф	Armadietto da cucina	キッチンキャビネット	주방 캐비닛	多層收納抽屜	Laci penyimpanan multi-layer											
Obj/Name/Drawer_8	base	0	收纳柜	Kitchen Cart	Chariot de cuisine	Küchenwagen	Carrito de cocina	Carrinho de Cozinha	Кухонная тележка	Carrello da cucina	キッチンカート	주방 카트	收納櫃	Kotak penyimpanan											
Obj/Name/Drawer_9	base	0	多功能收纳柜	Storage Cabinet	Cabinet De Stockage	Lagerschrank	Armario De Almacenamiento	Gabinete De Armazenamento	Шкаф Для Хранения	Armadio Di Stoccaggio	保管ボックス	보관함	多功能收納櫃	Lemari penyimpanan multifungsi											
Obj/Desc/DrawerGenerally	base	0	"收纳柜,通过合成可以创造更高一级的收纳柜。"	Storage Cabinet.MERGE to reach its next level.	Cabinet De Stockage.FUSIONNEZ pour atteindre le niveau suivant.	"Lagerschrank.KOMBINIEREN, um nächstes Level zu erreichen."	Armario De Almacenamiento.FUSIONA para llegar al siguiente nivel.	Gabinete De Armazenamento.COMBINE para alcançar o próximo nível.	"Шкаф Для Хранения.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня."	Armadio Di Stoccaggio.ABBINA per raggiungere il livello successivo.	保管ボックス.同じコマを合成することでレベルアップします。	보관함.같은 아이템을 합성해 레벨업할 수 있어요.	"收納櫃,通過合成可以創造更高一級的收納櫃。"	Lemari penyimpanan dapat digabungkan untuk membuat lemari penyimpanan dengan tingkat yang lebih tinggi.											
Obj/Desc/Drawer	base	0	"收纳柜,点击该道具可以收集壁灯和花瓶类道具或者合成更高一级的收纳柜。"	Storage Cabinet.MERGE to reach its next level.TAP to produce new items.	Cabinet De Stockage.FUSIONNEZ pour atteindre le niveau suivant.TOUCHEZ pour produire de nouveaux objets.	"Lagerschrank.KOMBINIEREN, um nächstes Level zu erreichen.TIPPEN, um neue Gegenstände herzustellen."	Armario De Almacenamiento.FUSIONA para llegar al siguiente nivel.TOCA para producir objetos nuevos.	Gabinete De Armazenamento.COMBINE para alcançar o próximo nível.TOQUE para produzir itens novos.	"Шкаф Для Хранения.СЛИВАЙТЕСЬ, чтобы достичь следующего уровня.НАЖИМАЙТЕ, чтобы производить новые предметы."	Armadio Di Stoccaggio.ABBINA per raggiungere il livello successivo.TOCCA per produrre nuovi oggetti.	保管ボックス.同じコマを合成することでレベルアップします。タップで新しいコマを作ります。	보관함.같은 아이템을 합성해 레벨업할 수 있어요.눌러서 새로운 아이템을 생성하세요.	"收納櫃,點擊該道具可以收集路燈、花瓶和花盆類道具或者合成更高一級的收納櫃。"	"Lemari penyimpanan, klik item ini untuk mengumpulkan lampu dinding dan vas atau mensintesis lemari penyimpanan tingkat tinggi."											
